 news.128.t:0 "La caída de Berlín"
 ace_died.1.d_major:0 "Uno de los más famosos ases de [From.GetAceType] de [From.Owner.GetName], [From.GetFullName], ha caído en el cumplimiento del deber. Los pilotos que volvieron de la misión informaron haber visto [From.GetHerHis] [From.GetWingShort] caer en llamas sobre [From.GetMissionRegion] después de recibir fuego enemigo pesado. Lamentablemente, como [From.GetSheHe] ha sido desde hace  mucho una figura pública, la desaparición de [From.GetCallsign] es muy desmoralizadora para la mucha gente que sentia admiración por [From.GetHerHim].\n\nAunque desearíamos que hubiera un modo de ocultar este evento a la gente, la falta de apariciones públicas de [From.GetName] pronto levantarían suspicacias. En última instancia, la muerte [From.GetHerHis] es otra parte de una leyenda que vivirá mucho más allá de nuestros problemas actuales. "
 ace_died.1.a:0 "Una leyenda viva es todavía mejor."
 ace_killed_by_ace.1.t:0 "[From.GetFullName] derribado por [Prev.GetCallsign]"
 ace_killed_by_ace.1.d:0 "Pilotos volviendo de [From.GetMissionRegion] informan que un escuadrón de aviones [Prev.Owner.GetAdjective] liderados por el infame [Prev.GetCallsign] se centró en perseguir a [From.GetCallsign]. Después de derribar un número de aviones enemigos y esquivar varias ráfagas de [Prev.Owner.GetAdjective], [From.GetCallsign] se vio abrumado por [Prev.GetCallsign], que al parecer maniobró mejor que [From.GetHerHim] y atravesó los tanques de combustible con un impacto limpio. El avión de [From.GetName] [From.GetSurname] estalló en llamás y cayó en espiral sobre [From.GetMissionRegion] en un infierno feroz.\n\n[From.GetFullName] había demostrado gran coraje en todo [From.GetHerHis] servicio y recibió la admiración de muchos. La pérdida de este héroe nacional es un duro golpe a la fuerza aérea [From.Owner.GetAdjective] y es un golpe devastador a la nación entera. Saber que mientras nosotros lloramos, [Prev.Owner.GetName] celebra a [Prev.GetFullName] como un héroe, hace que la tragedia sea aún mayor."
 ace_killed_by_ace.1.d_major:0 "Pilotos volviendo de [From.GetMissionRegion] informan que un escuadrón de aviones [Prev.Owner.GetAdjective] liderados por el infame [Prev.GetCallsign] se centró en perseguir a [From.GetCallsign]. Después de derribar un número de aviones enemigos y esquivar varias ráfagas de [Prev.Owner.GetAdjective], [From.GetCallsign] se vio abrumado por [Prev.GetCallsign], que al parecer maniobró mejor que [From.GetHerHim] y atravesó los tanques de combustible con un impacto limpio. El avión de [From.GetName] [From.GetSurname] estalló en llamás y cayó en espiral sobre [From.GetMissionRegion] en un infierno feroz.\n\n[From.GetFullName] había demostrado gran coraje en todo [From.GetHerHis] servicio y recibió la admiración de muchos. La pérdida de este héroe nacional es un duro golpe a la fuerza aérea [From.Owner.GetAdjective] y es un golpe devastador a la nación entera. Saber que mientras nosotros lloramos, [Prev.Owner.GetName] celebra a [Prev.GetFullName] como un héroe, hace que la tragedia sea aún mayor."
 ace_killed_by_ace.1.a:0 "Una devastadora pérdida para todos nosotros"
 ace_killed_other_ace.1.t:0 "[From.GetFullName] derriba a [Prev.GetCallsign]"
 ace_killed_other_ace.1.d:0 "Nuestra última misión en [From.GetMissionRegion] fue un gran éxito para la fuerza aérea [From.Owner.GetAdjective] en más de un aspecto. Informes han llegado destacando la acción heroica de [From.GetFullName], logrando burlar al piloto [Prev.Owner.GetAdjective], [Prev.GetName] [Prev.GetSurname], conocido como [Prev.GetCallsign]. [From.GetCallsign] se usó [From.GetHerselfHimself] como cebo y engañó a [Prev.GetCallsign] en una trampa donde los pilotos [From.Owner.GetAdjective] fueron capaces de caer sobre el escuadrón de  [Prev.GetCallsign]. [From.GetCallsign] procedió a superar en maniobra a [Prev.Owner.GetAdjective] y con una sola ráfaga sola envió a [Prev.GetCallsign] a caer en espiral de los cielos de [From.GetMissionRegion].\n\n[Prev.GetFullName] fue un piloto temido con muchas vidas [From.Owner.GetAdjective] sobre [Prev.GetHerHis] conciencia. Esta es una gran victoria y muestra que cuando seguimos a grandes héroes, realizan grandes hechos."
 ace_killed_other_ace.1.d_major:0 "Nuestra última misión en [From.GetMissionRegion] fue un gran éxito para la fuerza aérea [From.Owner.GetAdjective] en más de un aspecto. Informes han llegado destacando la acción heroica de [From.GetFullName], logrando burlar al piloto [Prev.Owner.GetAdjective], [Prev.GetName] [Prev.GetSurname], conocido como [Prev.GetCallsign]. [From.GetCallsign] se usó [From.GetHerselfHimself] como cebo y engañó a [Prev.GetCallsign] en una trampa donde los pilotos [From.Owner.GetAdjective] fueron capaces de caer sobre el escuadrón de  [Prev.GetCallsign]. [From.GetCallsign] procedió a superar en maniobra a [Prev.Owner.GetAdjective] y con una sola ráfaga sola envió a [Prev.GetCallsign] a caer en espiral de los cielos de [From.GetMissionRegion].\n\n[Prev.GetFullName] fue un piloto temido con muchas vidas [From.Owner.GetAdjective] sobre [Prev.GetHerHis] conciencia. Esta es una gran victoria y muestra que cuando seguimos a grandes héroes, realizan grandes hechos."
 ace_killed_other_ace.1.a:0 "¡Una victoria que todos [From.Owner.GetName] recordarán!"
 aces_killed_each_other.1.t:0 "[From.GetFullName] ha caído"
 aces_killed_each_other.1.d:0 "Durante la última misión de nuestro famoso As [From.GetAceType] [From.GetFullname] terminó en un enfrentamiento con el temido as de la aviación, [Prev.GetFullName]. Con pocas municiones y sin posibilidad de escapar, [From.GetCallsign] maniobró [From.GetHerHis] [From.GetWingShort] entre a las ráfagas de los aviones [Prev.Owner.GetAdjective] y procedió a chocar contra [Prev.GetCallsign].\n\nTanto el [From.GetWingShort] de [From.GetCallsign] y el [Prev.GetWingShort] de [Prev.GetCallsign] fueron vistos cayendo en pedazos sobre [From.GetMissionRegion]. Si bien es un pequeño consuelo que la [Prev.Owner.GetAdjective] amenaza, [Prev.GetCallsign], ya no será una molestia para nosotros, hemos perdido una figura pública valor e inspiración para todos los  [From.Owner.GetAdjective].\n"
 aces_killed_each_other.1.d_major:0 "Durante la última misión de nuestro famoso As [From.GetAceType] [From.GetFullname] terminó en un enfrentamiento con el temido as de la aviación, [Prev.GetFullName]. Con pocas municiones y sin posibilidad de escapar, [From.GetCallsign] maniobró [From.GetHerHis] [From.GetWingShort] entre a las ráfagas de los aviones [Prev.Owner.GetAdjective] y procedió a chocar contra [Prev.GetCallsign].\n\n\nTanto el [From.GetWingShort] de [From.GetCallsign] y el [Prev.GetWingShort] de [Prev.GetCallsign] fueron vistos cayendo en pedazos sobre [From.GetMissionRegion]. Si bien es un pequeño consuelo que la [Prev.Owner.GetAdjective] amenaza, [Prev.GetCallsign], ya no será una molestia para nosotros, hemos perdido una figura pública valor e inspiración para todos los  [From.Owner.GetAdjective]."
 aces_killed_each_other.1.a:0 "Una gran pérdida para nosotros, sin embargo, "
 election.1.t:0 "ELECCIÓN GENÉRICA"
 election.2.t:0 "Elecciones: El público se opone al rearme"
 election.2.d:0 "En las próximas elecciones, el apoyo a [Root.GetRulingParty] es todavía alto, el puebloo tiene confianza en el liderazgo de [Root.GetLeader]. Sin embargo, la búsqueda del partido por aumentar el efoque de [Root.GetName] en cuestiones militares no ha sido totalmente popular del público, con un segmento significativo de los ciudadanos considerando esto un patriotismo desacertado. La guerra aún no ha llegdo a nuestras frontera y a pocos les gustaría ver [Root.GetName] tomando medidas agresivas. Colaborando con otros grandes partidos que comparten nuestra preocupación por la seguridad de la nación, todavía podremos gobernar después de las elecciones, aunque con un apoyo disminuido"
 election.2.a:0 "El pueblo debe ser escuchado."
 election.2.b:0 "Proteger nuestra soberanía es lo primero."
 election.3.t:0 "Elección: El público reclama un rearma"
 election.3.d:0 "La guerra en curso que se acerca a nuestras fronteras ha dominado las próximas elecciones, con muchos votantes preocupados por el hecho de que [Root.GetName] no esté preparado para ser arrojado a este conflicto o lo que pueda provenir de ello. Exigen que aumentemos nuestras precauciones y aseguremos que nuestra nación esté lista para la guerra. Aunque la mayoría todavía apoya al [Root.GetRulingParty],  podemos perderles ante  elementos más radicales si no aliviamos sus temores."
 election.3.a:0 "El pueblo tienen derecho a sentirse seguro."
 election.3.b:0 "Muchos están todavía a favor de soluciones diplomáticas."
 election.4.t:0 "Elección: ¿Fascistas en el gobierno?"
 election.4.d:1 "Un sentimiento agresivamente nacionalista ha crecido en [Root.GetName], dando lugar a varios partidos que promueven ideales fascistas: un estado fuerte hacer cumplir su poder mediante la fuerza militar. Uno de éstos en particular ha ganado el favor en las últimas elecciones, provocando discusiones dentro del partido [Root.GetRulingParty] sobre si debemos tratar de cooperar con ellos en la formación de nuestro gobierno. Mientras que rechazan abiertamente los ideales democráticos que son la base de nuestro estado, el hecho de que decidan participar en la elección en sí presta cierta credibilidad nuestros puntos de vista y reconocer su apoyo público puede alejarlos de tomar tomar acciones violentas."
 election.4.a:0 "¡Mejor dicho ellos que los comunistas!"
 election.4.b:0 "Es preferible una amplia coalición de partidos democráticos."
 election.5.t:0 "Elecciones: ¿Comunistas en el gobierno?"
 election.5.d:0 "El movimiento comunista en [Root.GetName], impulsado por la amplia insatisfacción entre la clase obrera y las tendencias radicales entre académicos, se ha hecho lo suficientemente grande para llevar a la formación de varios partidos. Después de que uno de ellos haya ganado un apoyo considerable en las últimas elecciones, políticos en [Root.GetRulingParty] han empezado a debatir si debe o no buscar su apoyo en la formación de un gobierno. Aunque consideran a nuestras instituciones democráticas poco más que la tiranía burguesa, parecen dispuestos a hacer los cambios que quieren ver a través de la cooperación con el gobierno en lugar de derrocarlo."
 election.5.a:0 "¡Reforma antes que revolución!"
 election.5.b:0 "Es preferible una amplia coalición de partidos democráticos."
 election.6.t:0 "Elecciones: Partidos democráticos en minoría"
 election.6.d:0 "La política en [Root.GetName] se ha vuelto cada vez más radicalizada. Donde una vez hubo amplio apoyo para los partidos que apoyaron los ideales democráticos y las instituciones representativas de [Root.GetName], más votantes han recurrido a los extremos políticos en estas elecciones. Los partidos en el centro  político, incluso si deciden dejar de lado sus diferencias, ya no tienen la mayoría. Para evitar un débil gobierno en minoría, no tenemos más remedio que cooperar con los fascistas o comunistas."
 election.6.a:0 "Trabajaremos con los fascistas para fortalecer [Root.GetName]."
 election.6.b:0 "Uniéndonos a los comunistas, podremos facilitar el cambio social."
 election.6.c:0 "Es preferible un gobierno en minoría, aunque sea débil."
 election.7.t:0 "Fascistas influyen en política exterior"
 election.7.d:1 "Aceptar a los fascistas en nuestra coalición política ha tenido un impacto en nuestra política exterior. A pesar de su vehemente nacionalismo, tienen amigos en el extranjero que aprueban de la influencia que tienen en [Root.GetName]. Los gobiernos totalitarios de inclinaciones ideológicas similares nos ven como posibles aliados. Mantener vínculos con esas naciones, no importa el disgusto que [Root.GetRulingParty] sienta por sus ideales, puede ser necesario para conservar el apoyo de los fascistas a nuestro gobierno."
 election.7.a:0 "Nos vendrían bien aliados contra las mayores amenazas."
 election.7.b:0 "Con amigos así, no necesitaríamos enemigos."
 election.8.t:0 "Comunistas influyen en política exterior"
 election.8.d:0 "Los comunistas a menudo se consideran parte de una revolución internacional, y nuestra elección de aceptarlos como socios en nuestro gobierno ha llamado la atención de muchos de sus aliados internacionales. Representantes de partidos comunistas mantienen estrechos lazos con las naciones que han abandonado nuestra forma de gobierno a favor de una dictadura del proletariado, lazos que podemos necesitar reconocer en la política exterior [Root.GetAdjective] si queremos conservar su apoyo."
 election.8.a:0 "Debemos abrazar a nuestras causas comunes."
 election.8.b:0 "Por ese camino se encuentra la disolución del propio [Root.GetName]."
 election.11.t:0 "Elección: Mayoría fascista"
 election.11.d:0 "Esta elección ha sido devastadora para la propia institución que representa. La mayoría de la población [Root.GetAdjective] ha dado su voto a favor de un partido fascista que busca abolir las elecciones e instalar a un gobernante autocrático. Mientras que muchos consideran tomar las armas contra esta violación de los ideales democráticos que permitieron este mandato otros consideran que el uso de la violencia solo confirma sus ideales."
 election.11.a:0 "Es un día negro para [Root.GetName], pero el pueblo ha hablado."
 election.11.b:0 "¡No entregaremos nuestra libertad sin pelear!"
 election.12.t:0 "Elección: Mayoría comunista"
 election.12.d:0 "Las elecciones actuales resultaron en victoria para los partidos comunistas, con reacciones diversas de la administración anterior. Mientras que los nuevos gobernantes pretenden representar a la población en su conjunto, ven muchas de las instituciones democráticas que valoramos como intentos de manipular y oprimir a la clase obrera, llevando a discutir sobre lo que realmente constituye un \\'gobierno del pueblo\\'. En algunos países, la revolución comenzó en ríos de sangre. En [Root.GetName] no, pero todavía pueden terminar con ellos."
 election.12.a:0 "Esto es preocupante, pero en realidad representan a la mayoría."
 election.12.b:0 "¡Debemos pararlos antes de que eliminen todo rastro de pensamiento discrepante!"
 election.13.t:0 "Elección: Magnate favores fascismo"
 election.13.d:0 "Un influyente empresario detrás de una de las empresas hemos optado por trabajar con nuestra producción industrial recientemente se ha hecho una serie de declaraciones sobre la política que los miembros de la administración encuentran preocupante. Ha defendido abiertamente un gobierno autoritario y elogió las administraciones extranjeras identificadas como fascistas, sugiriendo de modo implícito que [Root.GetName] se beneficiaría de tal gobierno. Denunciar al magnate y sus ideales puede agriar nuestra relación con la empresa, pero dejarlos pasar le daría una plataforma para difundir propaganda que corroe todo lo que significa el [Root.GetRulingParty]."
 election.13.a:0 "Puede decir lo que le dé la gana, no necesitamos apoyarlo."
 election.13.b:0 "No podemos depender de fascistas para desarrollar y proteger [Root.GetName]."
 election.14.t:0 "Elección: Excepción del tiempo de guerra"
 election.14.d:0 "[Root.GetName] está en un estado de guerra. Normalmente, se celebraría elecciones en este momento, pero estando en medio de un conflicto importante muchos sostienen que no puede permitirse el lujo de gastar tiempo en campañas políticas, o el cambio de liderazgo que pueda venir. Mientras tanto, otros afirman que declarar que la guerra en curso es un motivo válido para saltarse las elecciones es el primer paso para erosionar la democracia [Root.GetAdjective]. Después de todo, dejar que las cuestiones militares tengan prioridad sobre la influencia del pueblo podría ser el comienzo de un mal camino."
 election.14.a:0 "Las elecciones se celebrarán como de costumbre."
 election.14.b:0 "No encargaremos de esos asuntos cuando esta guerra termine."
 election.15.t:0 "Elecciones: Gobierno disputado"
 election.15.d:0 "Con unas elecciones cercanas, la gente se está empezando a preguntar la capacidad de la actual administración para continuar la guerra en curso. [Root.GetName] ha sufrido mucho y la opinión popular se ha vuelto contra los que parecen estar liderando nuestra nación hacia su derrota. Mientras que nuestro pueblo están decidido a continuar la guerra hasta el final, preferirían que la terminase otro gobierno. "
 election.15.a:0 "Esta crisis de confianza es muy lamentable."
 political.1.t:0 "Comunismo en aumento"
 political.1.d:0 "\\'¡Mientras que los trabajadores se levantan contra sus opresores por todo el mundo, los que dicen que han alcanzado conciencia de clase en [Root.GetName] cruzan de brazos y esperan que el cambio venga desde dentro de un sistema político totalmente corrupto que solo la revolución podría salvarnos de él!\\'\n\nAsí hablan nuevas voces del movimiento comunista [Root.GetAdjective]. Refiriéndose al gobierno del [Root.GetRulingParty] como una dictadura de la burguesía, han comenzado a llamar a su expulsión del poder por cualquier medio necesario. Si esos medios vendrán de dentro o fuera, aún está por ver."
 political.1.a:0 "Pueden haber quienes en el propio gobierno apoyen tales ideas."
 political.1.a.tt:0 "Aumenta las posibilidades de apoyo interno de un golpe de estado comunista."
 political.1.b:0 "Un movimiento popular debe buscar el apoyo popular."
 political.1.b.tt:0 "Aumenta la posibilidad de apoyo popular para una insurrección comunista."
 political.2.t:0 "Simpatías marxistas en el gobierno"
 political.2.d:0 "Aunque la línea del partido del [Root.GetRulingParty] es oponerse fuertemente al socialismo revolucionario, manteniendo un ojo avizor en elementos radicales de izquierda del país, algunas personas del gobierno están más abiertos a la posibilidad. Aunque no sea por otra cosa, ven espacio para atender las preocupaciones del pueblo que buscan a los comunistas en busca de soluciones sin arriesgarse a una guerra civil.\n\nAunque pueden ser vistos como traidores por quienes permanecen leales a [Root.GetLeader], estas voces disidentes garantizar una transición relativamente incruenta, en caso de que llegase la revolución."
 political.2.a:0 "Mantendremos una estrecha vigilancia también sobre ellos, por muchas razones."
 political.2.a.tt:0 "Si el apoyo público es suficiente, se puede dar un golpe de estado."
 political.3.t:0 "Los comunistas dan golpe de estado"
 political.3.d:0 "Mientras que el movimiento popular por la revolución comunista ha sido fuerte y aterrador, una sección del movimiento político ha sido en gran parte tranquilo y paciente. La espera ha llegado a su fin. Hoy, cuando la dirección del [Root.GetRulingParty] y el ejército se preparan para una rebelión a escala nacional, un número de funcionarios en el gobierno [Root.GetAdjective] rápidamente pusieron a [Root.GetLeader] bajo arresto domiciliario y entraron en negociaciones con los rebeldes.\n\nConservando un pretexto de salvaguardar el orden, lo que las negociaciones querían conseguir era asegurarse cargos dentro del nuevo estado socialista para los que decidieron cooperar. El golpe de estado fue completado antes de que nadie pudiera moverse para detenerlo, y los que hubieran podido están ahora detenidos, exiliados o ejecutados por el nuevo régimen."
 political.3.a:0 "Las mareas de historia barrerán el pasado."
 political.4.t:0 "Conflictos de clases dividen [Root.GetName]"
 political.4.d:0 "El movimiento revolucionario comunista, una vez una popular solo entre académicos radicales en teoría y alborotadores en la práctica, ha visto aumentar su apoyo entre la clase trabajadoras [Root.GetAdjective]. El hecho de que incluso más gente decide identificarse con una \\'clase\\ implica que la difusión de las ideas marxistas se extienden más allá de aquellos que activamente buscan derrocar al gobierno.\n\nMiembros del [Root.GetRulingParty] lamentan este desarrollo, añorando el tiempo en que la gente se identificaba primero como \\'[Root.GetAdjective]\\'. Sus preocupaciones no son infundadas. Se podría argumentar que una revolución ya está en marcha, ocurriendo e en varios niveles de la sociedad, y puede ser demasiado tarde para detenerla."
 political.4.a:0 "Las personas pueden llamarse a sí mismos lo que quieran."
 political.5.t:0 "Los soldados desertan para convertirse en partisanos comunista."
 political.5.d:0 "\\'Capitalistas y nacionalistas harían que derramases  tu sangre por ellos en el frente, volviendo a hermano contra hermano por disputas que no se conciernen al trabajador! ¡En vez de armaros contra trabajadores que luchan en el extranjero, levantaos contra los opresores y derrocad a los tiranos!\\'\n\nEl ejército, generalmente un bastión del patriotismo y lealtad, ha demostrado no para ser inmune a la propaganda comunista que se extiende rápidamente en [Root.GetName]. Los soldados están desertando, se niegan a luchar por su país, llegando a veces a unirse a movimientos partisanos que pretenden estar preparándose para la revolución."
 political.5.a:0 "Quizás simplemente están luchando por una [Root.GetName] diferente."
 political.6.t:0 "La revolución de [GetMonth]"
 political.6.d:0 "La idea de que el movimiento comunista representa al pueblo ha ganado terreno en [Root.GetName], dondel apoyo público para el partido comunista ha aumentado rápidamente en los últimos meses. Pero los que llaman a la revolución ya no son una colección dispar de guerrilleros y sindicatos descontentos. El grupo detrás de la llamada a la revolución está lo suficiente organizada como para formar un gobierno si lo consiguen.\n\nSin embargo, si la revolución empieza ahora, difícilmente podrían ejecutarse sin iniciar una guerra civil en [Root.GetName]. ¿Deben los revolucionarios correr el riesgo de partir la nación en dos para satisfacer su impaciencia, o esperar una mejor oportunidad en el futuro?"
 political.6.a:0 "¡Aquellos que desean hacer la historia deben actuar hoy?"
 political.6.b:0 "La revolución es inevitable. Lo inevitable puede esperar."
 political.7.t:0 "Fascismo en ascenso"
 political.7.d:1 "\\'el pueblo de [Root.GetAdjective] tiene una historia noble, una historia que el gobierno débil y cobarde del [Root.GetRulingParty] les ha hecho olvidar! Dicen representar al pueblo, ¿pero puede hacer un estado tan débil cumplir la voluntad del pueblo? Sólo derramando la sangre de estos traidores podemos cumplir nuestro destino!\\'\n\nLos portavoces fascistas de [Root.GetName] no han hecho ningún secreto  de lo que piensan de nuestro actual gobierno y sistema político. Discursos como éstos han aprovechado un desacuerdo público que es particularmente pronunciado en las secciones más conservadoras de los militares."
 political.7.a:0 "Los altos mandos pueden abrigar simpatías tácitas."
 political.7.a.tt:0 "Aumenta las posibilidades de apoyo interno a un golpe de estado fascista."
 political.7.b:0 "La generación más joven tomará la antorcha."
 political.7.b.tt:0 "Incrementa la posibilidad de apoyo popular a un golpe de estado fascista."
 political.8.t:0 "Simpatías fascistas en el ejército"
 political.8.d:1 "Varios miembros de alto rango del ejército [Root.GetAdjective] han expresado su apoyo, algunos en privado y algunos abiertamente, hacia el movimiento fascista en [Root.GetName]. Sienten que el [Root.GetRulingParty] ha olvidado lo importante que son la disciplina y el patriotismo para mantener el país unificado, y cada vez están más enojados porque el gobierno trata más el ejército como un instrumento que una de las instituciones nacionales más importantes. Algunos de ellos van como lejos como para sugerir que se necesita un nuevo gobierno que sepa cómo dirigir [Root.GetName] con fuerza y tradición en la próxima mitad de siglo.\n\nEsta facción puede no ser predominantemente de políticos, pero algunos de ellos han conseguido puestos en el Departamento de defensa. Si estos avances continúan, pueden tener suficiente respaldo político para dar un golpe de estado."
 political.8.a:0 "El espíritu nacional supera al gobierno."
 political.9.t:0 "Golpe de estado fascista"
 political.9.d:0 "Algunos dirán que lo veíamos venir. Tanto los que advirtieron contra los peligros del fascismo y los que lo ensalzaron como el salvador de [Root.GetName] han visto sus profecías hechas realidad hoy, cuando los militares de [Root.Capital.GetName] derribaron el gobierno del [Root.GetRulingParty] y tomaron el poder. [Root.GetLeader] está desaparecido, se rumorea que se ha exiliado y el golpe de estado ha encontrado poca resistencia inicial.\n\nLos nuevos dirigentes [Root.GetAdjective] tampoco piensa permitir que crezca la resistencia. Se ha declarado la ley marcial y con los cambios que se están realizando, lo que viene después es probable que sea muy diferente."
 political.9.a:0 "Se necesita un estado fuerte para proteger a la gente de sí misma."
 political.10.t:0 "Guerra civil por el fascismo"
 political.10.d:1 "Mientras que los intentos del movimiento fascista para revitalizar el orgullo del pueblo en su país han visto algún éxito, la resistencia contra estas ideas sigue siendo alta. Los generales que conspirar para derrocar el actual gobierno están decepcionados por la falta de apoyo que la población [Root.GetFascistParty] se parecen tener en la superioridad [Root.GetAdjective].\n\nEstán seguros que  el pueblo eventualmente se cansará de las mentiras de [Root.GetLeader],pero están divididos sobre qué curso de acción a tomar. Algunos llaman a  dar un golpe de estado ahora, antes de los enemigos de [Root.GetName] aprovechen su debilidad. Sin embargo, hacerlo mientras que el apoyo del público es limitado hundiría la nación en la guerra civil. Muy pocas veces se logra la grandeza sin derramar sangre, pero la sangre de nuestros compatriotas, incluso traidores a la causa, es preciosa."
 political.10.a:0 "La voluntad de poder no tiene sentido si uno duda en tomarlo."
 political.10.b:0 "Primero unir al pueblo, después gobernarlo."
 political.11.t:0 "Fascistas forman divisiones de asalto"
 political.11.d:0 "Lo político y lo marcial siempre ha sido entrelazado en fascismo. En paralelo con su movimiento político creciente, los partidos fascistas han comenzado a formar organizaciones paramilitares para protegerse de amenazas internas y externas, siendo las internas sus opositores políticos. Aunque muchas personas consideran esta evolución preocupante, la ola de furor militar ha llevado a un aumento en la cantidad de voluntarios unirse a nuestras fuerzas armadas.\n\nLos líderes políticos del movimiento han señalado que sus oponentes tienen motivos para tener miedo. Al permitir que el ejército se impregnado en varios niveles de elementos tan explícitamente políticos, los enemigos de [Root.GetName] y los enemigos del fascismo se están empezando a se parecen mucho."
 political.11.a:0 "Sólo los traidores al país tienen algo que temer."
 political.12.t:0 "La amenaza del comunismo"
